code,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,city_name
lzo,luzhou/cn,lzo,y,,cn,asia,luzhou
lzr,lizard island/ql/au,lzr,y,ql,au,austl,lizard island
lzy,lin zhi/cn,lzy,y,,cn,asia,lin zhi
maa,chennai/in,maa,y,,in,asia,chennai
mab,maraba/pa/br,mab,y,pa,br,samer,maraba
mac,macon/ga/us:smart,mcn,y,ga,us,namer,macon
mad,madrid/es:barajas,mad,y,,es,europ,madrid
mae,madera/ca/us,mae,y,ca,us,namer,madera
maf,midland/tx/us:odessa,maf,y,tx,us,namer,midland
mag,madang/pg,mag,y,,pg,austl,madang
mah,menorca/es,mah,y,,es,europ,menorca
mai,mangochi/mw,mai,y,,mw,afric,mangochi
maj,majuro/mh:amata kabua intl,maj,y,,mh,pacif,majuro
mak,malakal/sd,mak,y,,sd,afric,malakal
mal,mangole/id,mal,y,,id,seasi,mangole
mam,matamoros/mx,mam,y,,mx,namer,matamoros
man,manchester/gb:manchester intl,man,y,,gb,europ,manchester
mao,manaus/am/br:eduardo gomes,mao,y,am,br,samer,manaus
map,mamai/pg,map,y,,pg,austl,mamai
maq,mae sot/th,maq,y,,th,seasi,mae sot
mar,maracaibo/ve:la chinita,mar,y,,ve,samer,maracaibo
mas,manus island/pg:momote,mas,y,,pg,austl,manus island
mat,matadi/cd,mat,y,,cd,afric,matadi
mau,maupiti/pf,mau,y,,pf,pacif,maupiti
mav,maloelap island/mh,mav,y,,mh,pacif,maloelap island
maw,malden/mo/us,maw,y,mo,us,namer,malden
max,matam/sn,max,y,,sn,afric,matam
may,mangrove cay/bs,may,y,,bs,carib,mangrove cay
maz,mayaguez/pr:de hostos,maz,y,,pr,carib,mayaguez
mba,mombasa/ke:moi intl,mba,y,,ke,afric,mombasa
mbb,marble bar/wa/au,mbb,y,wa,au,austl,marble bar
mbc,mbigou/ga,mbc,y,,ga,afric,mbigou
mbd,mmabatho/za:intl,mbd,y,,za,afric,mmabatho
mbe,monbetsu/jp,mbe,y,,jp,asia,monbetsu
