TZ_GROUP,REL_COUNTRY_CODE,YEAR,DIFFER_GMT,DIFFER_SIGN,DAYLIGHT_SAVINGS,ED,DD,ED_STATUS,DD_STATUS,HEMISPHERE
085,NZ,2007,51,P,4,06/10/2007 14:00:00,17/03/2007 14:00:00,V,V,S
085,NZ,2008,51,P,4,04/10/2008 14:00:00,15/03/2008 14:00:00,V,V,S
085,NZ,2009,51,P,4,01/01/2010,14/03/2009 14:00:00,U,V,S
,OM,2007,16,P,0,,,V,V,N
,OM,2008,16,P,0,,,V,V,N
155,PE,2007,20,N,0,,,V,V,S
086,PF,2007,38,N,0,,,V,V,S
086,PF,2008,38,N,0,,,V,V,S
087,PF,2008,40,N,0,,,V,V,S
088,PF,2007,36,N,0,,,V,V,S
,PG,2007,40,P,0,,,V,V,S
,PG,2008,40,P,0,,,V,V,S
,PH,2007,32,P,0,,,V,V,N
163,PK,2007,20,P,0,,,V,V,N
089,PL,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
089,PL,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
090,PM,2007,12,N,4,01/04/2007 05:00:00,28/10/2007 04:00:00,V,V,N
090,PM,2008,12,N,4,06/04/2008 05:00:00,26/10/2008 04:00:00,V,V,N
,PR,2008,16,N,0,,,V,V,N
190,PS,2007,8,P,4,29/03/2007 23:00:00,26/09/2007 22:00:00,V,V,N
092,PT,2007,0,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
092,PT,2008,0,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
158,PT,2007,4,N,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
,PW,2007,36,P,0,,,V,V,S
,PW,2008,36,P,0,,,V,V,S
093,PY,2008,16,N,4,19/10/2008 04:00:00,09/03/2008 03:00:00,V,V,S
093,PY,2009,16,N,4,01/01/2010,08/03/2009 03:00:00,U,V,S
,QA,2007,12,P,0,,,V,V,N
,QA,2008,12,P,0,,,V,V,N
,RE,2007,16,P,0,,,V,V,S
,RE,2008,16,P,0,,,V,V,S
094,RO,2008,8,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
189,RS,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
189,RS,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
130,RU,2007,12,P,4,24/03/2007 23:00:00,27/10/2007 23:00:00,V,V,N
130,RU,2008,12,P,4,29/03/2008 23:00:00,25/10/2008 23:00:00,V,V,N
140,RU,2007,16,P,4,24/03/2007 22:00:00,27/10/2007 22:00:00,V,V,N
140,RU,2008,16,P,4,29/03/2008 22:00:00,25/10/2008 22:00:00,V,V,N
141,RU,2008,20,P,4,29/03/2008 21:00:00,25/10/2008 21:00:00,V,V,N
142,RU,2007,24,P,4,24/03/2007 20:00:00,27/10/2007 20:00:00,V,V,N
143,RU,2007,28,P,4,24/03/2007 19:00:00,27/10/2007 19:00:00,V,V,N
143,RU,2008,28,P,4,29/03/2008 19:00:00,25/10/2008 19:00:00,V,V,N
144,RU,2007,32,P,4,24/03/2007 18:00:00,27/10/2007 18:00:00,V,V,N
144,RU,2008,32,P,4,29/03/2008 18:00:00,25/10/2008 18:00:00,V,V,N
145,RU,2007,36,P,4,24/03/2007 17:00:00,27/10/2007 17:00:00,V,V,N
146,RU,2007,40,P,4,24/03/2007 16:00:00,27/10/2007 16:00:00,V,V,N
146,RU,2008,40,P,4,29/03/2008 16:00:00,25/10/2008 16:00:00,V,V,N
147,RU,2007,44,P,4,24/03/2007 15:00:00,27/10/2007 15:00:00,V,V,N
147,RU,2008,44,P,4,29/03/2008 15:00:00,25/10/2008 05:00:00,V,V,N
148,RU,2007,48,P,4,24/03/2007 14:00:00,27/10/2007 14:00:00,V,V,N
148,RU,2008,48,P,4,29/03/2008 14:00:00,25/10/2008 14:00:00,V,V,N
160,RU,2007,8,P,4,25/03/2007,28/10/2007,V,V,N
,RW,2007,8,P,0,,,V,V,S
,RW,2008,8,P,0,,,V,V,S
,SA,2007,12,P,0,,,V,V,N
,SA,2008,12,P,0,,,V,V,N
,SB,2007,44,P,0,,,V,V,S
172,SD,2008,12,P,0,,,V,V,N
,SD,2007,12,P,0,,,V,V,N
,SD,2008,12,P,0,,,V,V,N
095,SE,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
095,SE,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
175,MN,2006,32,P,4,24/03/2006 18:00:00,29/09/2006 17:00:00,V,V,N
,MO,2005,32,P,0,,,V,V,N
,SH,2007,0,P,0,,,V,V,S
,SH,2008,0,P,0,,,V,V,S
153,SI,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
153,SI,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
156,SK,2007,4,P,4,25/03/2007 01:00:00,28/10/2007 01:00:00,V,V,N
156,SK,2008,4,P,4,30/03/2008 01:00:00,26/10/2008 01:00:00,V,V,N
,SL,2007,0,P,0,,,V,V,N
,SL,2008,0,P,0,,,V,V,N
