CODE,TICKETING_NAME,TELETICKETING_NAME,EXTENDED_NAME,REL_CITY_CODE,IS_AIRPORT,STATE_CODE,REL_COUNTRY_CODE,REL_REGION_CODE,REL_CONTINENT_CODE,REL_TIME_ZONE_GRP,LONGITUDE,LATITUDE,NUMERIC_CODE,IS_COMMERCIAL,CITY_NAME
ZKD,MOSCOW,MOSCOW,MOSCOW/RU:LENINGRADSKIY RAIL,MOW,Y,,RU,EURAS,ITC2,RU130,37.42,55.97,,N,MOSCOW
ZKE,KASCHECHEWAN,KASCHECHEWAN,KASCHECHEWAN/ON/CA,ZKE,Y,ON,CA,NAMER,ITC1,CA025,-81.33,52.33,5838,Y,KASCHECHEWAN
ZKF,ST MARGRETHEN,ST MARGRETHEN,ST MARGRETHEN/CH:OFF-,ZKF,N,,CH,EUROP,ITC2,CH032,,,,N,ST MARGRETHEN
ZKG,KEGASKA,KEGASKA,KEGASKA/QC/CA,ZKG,Y,QC,CA,NAMER,ITC1,CA024,-61.28,50.18,5839,Y,KEGASKA
ZKH,ST MORITZ,ST MORITZ,ST MORITZ/CH:ST MORITZ,ZKH,Y,,CH,EUROP,ITC2,CH032,9.833,46.5,,N,ST MORITZ
ZKI,SAAS FEE,SAAS FEE,SAAS FEE/CH:SAAS FEE,ZKI,Y,,CH,EUROP,ITC2,CH032,7.917,46.12,,N,SAAS FEE
ZKJ,SCHAFFHAUSEN,SCHAFFHAUSEN,SCHAFFHAUSEN/CH:OFF-,ZKJ,N,,CH,EUROP,ITC2,CH032,,,,N,SCHAFFHAUSEN
ZKK,SCHWYZ,SCHWYZ,SCHWYZ/CH:OFF-,ZKK,N,,CH,EUROP,ITC2,CH032,,,,N,SCHWYZ
ZKL,STEENKOOL,STEENKOOL,STEENKOOL/ID,ZKL,Y,,ID,SEASI,ITC3,ID063,133.5,-2.1,5840,N,STEENKOOL
ZKM,SETTE CAMA,SETTE CAMA,SETTE CAMA/GA,ZKM,Y,,GA,AFRIC,ITC2,GA,9.767,-2.533,5841,N,SETTE CAMA
ZKN,SKIVE RAIL,SKIVE RAIL,SKIVE/DK:RAILWAY STATION,SQW,Y,,DK,EUROP,ITC2,DK041,12.65,55.62,,N,SKIVE
ZKO,SIERRE,SIERRE,SIERRE/CH:OFF-,ZKO,N,,CH,EUROP,ITC2,CH032,,,,N,SIERRE
ZKP,KASOMPE,KASOMPE,KASOMPE/ZM,ZKP,Y,,ZM,AFRIC,ITC2,ZM,27.9,-12.57,,N,KASOMPE
ZKQ,KOTOR,KOTOR,KOTOR/ME:KOTOR,ZKQ,Y,,ME,EUROP,ITC2,ME188,18.77,42.45,,N,KOTOR
ZKR,KARLOVASI,KARLOVASI,KARLOVASI/GR:OFF-,ZKR,N,,GR,EUROP,ITC2,GR058,,,,N,KARLOVASI
ZKS,SOLOTHURN,SOLOTHURN,SOLOTHURN/CH:OFF-,ZKS,N,,CH,EUROP,ITC2,CH032,,,,N,SOLOTHURN
ZKT,KOMOTINI,KOMOTINI,KOMOTINI/GR:OFF-,ZKT,N,,GR,EUROP,ITC2,GR058,,,,N,KOMOTINI
ZKU,SURSEE,SURSEE,SURSEE/CH:OFF-,ZKU,N,,CH,EUROP,ITC2,CH032,,,,N,SURSEE
ZKV,THALWIL,THALWIL,THALWIL/CH:OFF-,ZKV,N,,CH,EUROP,ITC2,CH032,,,,N,THALWIL
ZKW,WETZIKON,WETZIKON,WETZIKON/CH:WETZIKON,ZKW,N,,CH,EUROP,ITC2,CH032,8.8,47.32,,N,WETZIKON
ZKX,UZWIL,UZWIL,UZWIL/CH:OFF-,ZKX,N,,CH,EUROP,ITC2,CH032,,,,N,UZWIL
ZKY,VERBIER,VERBIER,VERBIER/CH:OFF-,ZKY,N,,CH,EUROP,ITC2,CH032,,,,N,VERBIER
ZKZ,VEVEY BVB,VEVEY BVB,VEVEY BVB/CH:OFF-,ZKZ,N,,CH,EUROP,ITC2,CH032,,,,N,VEVEY BVB
ZLA,VILLARS BVB,VILLARS BVB,VILLARS BVB/CH:OFF-,ZLA,N,,CH,EUROP,ITC2,CH032,,,,N,VILLARS BVB
ZLB,VISP,VISP,VISP/CH:OFF-,ZLB,N,,CH,EUROP,ITC2,CH032,,,,N,VISP
