"id" "airport" "pg"
"2904" "TRN" 0.00122265955961649
"2605" "SJO" 0.00122023863131743
"887" "FLR" 0.00121648438704631
"1606" "LEJ" 0.00121519113148315
"2126" "OMA" 0.00120858284943107
"20" "ABQ" 0.00120755171156633
"124" "ANC" 0.00120667957163976
"268" "BFS" 0.00120342267622209
"2543" "SDF" 0.00119770928678414
"1670" "LOS" 0.00119640222694873
"332" "BLL" 0.00119412662107587
"1716" "LUX" 0.00119147907083894
"678" "DAY" 0.00119066623671438
"69" "AGP" 0.00118120672690357
"866" "FAT" 0.00118050438560562
"3427" "ZAG" 0.00117732759477877
"253" "BEG" 0.00117586442298922
"2734" "SXB" 0.00117248423327839
"2930" "TUL" 0.00117174265981604
"528" "CHS" 0.00117135671885271
"2490" "RUH" 0.00117115942214545
"2021" "NGO" 0.00117030727032899
