Export data from the tables of Geonames:
alternateName	alternateName	geonameid	name	latitude	longitude	country	fcode	population	timezone	alternatenames
PLQ	EYPA	596239	Palanga	55.9732300	21.0938600	LT	AIRP	0	Europe/Vilnius	EYPA,PLQ
KLJ	EYKL	598097	Klaipėda Airport	55.7166700	21.2500000	LT	AIRP	0	Europe/Vilnius	EYKL,KLJ,Klaipeda Airport,Klaipeda East,Klaipėda Airport
KUN	EYKA	598317	Kaunas	54.9639200	24.0847800	LT	AIRP	0	Europe/Vilnius	EYKA,KUN
KRN	ESNQ	605156	Kiruna	67.8166700	20.3333300	SE	AIRP	0	Europe/Stockholm	ESNQ,KRN
GEV	ESNG	606087	Gallivare	67.1333300	20.8166700	SE	AIRP	0	Europe/Stockholm	ESNG,GEV
KKN	ENKR	779304	Kirkenes	69.7257800	29.8913000	NO	AIRP	0	Europe/Oslo	ENKR,Hoibugtmoen,Höibugtmoen,KKN
EVN	UDYZ	799617	Zvartnots	40.1525000	44.4022200	AM	AIRP	0	Asia/Yerevan	EVN,UDYZ
MPA	FYKM	877034	Katima Mulilo Airport	-17.6333300	24.1833300	NA	AIRP	0	Africa/Windhoek	FYKM,Katima Mulilo,Katima Mulilo Airport,M'pacha Aerodrome,MPA,Mpacha,M’pacha Aerodrome
CIP	FLCP	918706	Chipata	-13.5500000	32.6000000	ZM	AIRP	0	Africa/Lusaka	CIP,Chipata,FLCP,Fort Jameson
LMB	FWSM	924054	Salima	-13.7500000	34.5833300	MW	AIRP	0	Africa/Blantyre	FWSM,LMB
BLZ	FWCL	931037	Chileka International Airport	-15.6790500	34.9740100	MW	AIRP	0	Africa/Blantyre	BLZ,FWCL
PRY	FAWB	938159	Wonderboom Airport	-25.6538600	28.2242300	ZA	AIRP	0	Africa/Johannesburg	FAWB,PRY,Wonderboom,Wonderboom Aerodrome,Wonderboom Airport
IZA	FAWK	941772	Waterkloof	-25.8300000	28.2225000	ZA	AIRP	0	Africa/Johannesburg	FAWK,IZA
VYD	FAVY	942497	Vryheid	-27.7833300	30.8000000	ZA	AIRP	0	Africa/Johannesburg	FAVY,VYD,Vryheid
VRU	FAVB	942513	Vryburg	-26.9833300	24.7333300	ZA	AIRP	0	Africa/Johannesburg	FAVB,VRU
VIR	FAVG	943880	Virginia Aerodrome	-29.7706100	31.0584100	ZA	AIRP	0	Africa/Johannesburg	FAVG,VIR
QRA	FAGM	963244	Rand Airport	-26.2424300	28.1512000	ZA	AIRP	0	Africa/Johannesburg	FAGM,QRA,Rand,Rand Airport
UTW	FAQT	963518	Queenstown	-31.9202000	26.8822100	ZA	AIRP	0	Africa/Johannesburg	FAQT,UTW
AFD	FAPA	964433	Port Alfred	-33.5568100	26.8828200	ZA	AIRP	0	Africa/Johannesburg	AFD,FAPA,Port Alfred
PTG	FAPB	965294	Pietersburg	-23.8666700	29.4500000	ZA	AIRP	0	Africa/Johannesburg	FAPB,PTG,Pietersburg
PZB	FAPM	965302	Pieter Maritzburg	-29.6489800	30.3986700	ZA	AIRP	0	Africa/Johannesburg	FAPM,PZB
UTN	FAUP	965315	Upington Airport	-28.3991000	21.2602400	ZA	AIRP	0	Africa/Johannesburg	FAUP,UTN,Upington,Upington Airport
KXE	FAKD	965544	Klerksdorp Airport	-26.8710600	26.7180000	ZA	AIRP	0	Africa/Johannesburg	FAKD,KXE
OUH	FAOH	967110	Oudtshoorn	-33.6000000	22.1833300	ZA	AIRP	0	Africa/Johannesburg	FAOH,OUH
WEL	FAWM	968479	Odendaalsrus	-27.9980000	26.6695900	ZA	AIRP	0	Africa/Johannesburg	FAWM,WEL
NCS	FANC	971430	Newcastle	-27.7666700	29.9833300	ZA	AIRP	0	Africa/Johannesburg	FANC,NCS
MBD	FAMM	975435	Mmabatho Airport	-25.7984400	25.5480300	ZA	AIRP	0	Africa/Johannesburg	FAMM,MBD
DUR	FALE	984894	King Shaka International Airport	-29.6166700	31.1166700	ZA	AIRP	0	Africa/Johannesburg	DUR,FALE,KSIA,King Shaka Airport,King Shaka International Airport,La Mercy Airport
UTT	FAUT	991575	K. D. Matanzima Airport	-31.5479000	28.6742900	ZA	AIRP	0	Africa/Johannesburg	FAUT,K. D. Matanzima Airport,K.D. Matanzima Airport,UTT
JNB	FAJS	993986	Oliver Reginald Tambo International	-26.1334800	28.2360600	ZA	AIRP	0	Africa/Johannesburg	FAJS,JNB,Jan Smuts Airport,OR Tambo International Airport,Oliver Reginald Tambo International
BFN	FABL	994067	Bloemfontein	-29.0927200	26.3024400	ZA	AIRP	0	Africa/Johannesburg	BFN,FABL,J.B.M. Hertzog
