code,ticketing_name,teleticketing_name,extended_name,rel_city_code,is_airport,state_code,rel_country_code,rel_region_code,rel_continent_code,rel_time_zone_grp,longitude,latitude,numeric_code,is_commercial,city_name,
blj,batna,batna,batna/dz,blj,y,,dz,afric,itc2,dz,6.167,35.55,564,y,batna,
blk,blackpool,blackpool,blackpool/gb,blk,y,,gb,europ,itc2,gb053,-3.033,53.77,565,y,blackpool,
bll,billund,billund,billund/dk,bll,y,,dk,europ,itc2,dk041,9.15,55.73,566,y,billund,
blm,belmar,belmar,belmar/nj/us:monmouth county,blm,y,nj,us,namer,itc1,us105,-74.12,40.18,,n,belmar,
bln,benalla,benalla,benalla/vi/au,bln,y,vi,au,austl,itc3,au007,146,-36.55,,n,benalla,
blo,blonduos,blonduos,blonduos/is,blo,y,,is,europ,itc2,is,-20.3,65.67,567,n,blonduos,
blp,bellavista,bellavista,bellavista/pe,blp,y,,pe,samer,itc1,pe155,-77.13,-12.02,568,n,bellavista,
blq,bologna,bologna,bologna/it:guglielmo marconi,blq,y,,it,europ,itc2,it067,11.3,44.53,569,y,bologna,
blr,bangalore,bangalore,bangalore/in:hindustan,blr,y,,in,asia,itc3,in,77.6,13.13,570,y,bangalore,
bls,bollon,bollon,bollon/ql/au,bls,y,ql,au,austl,itc3,au131,147.4,-28.03,571,n,bollon,
blt,blackwater,blackwater,blackwater/ql/au,blt,y,ql,au,austl,itc3,au131,148.9,-23.58,572,y,blackwater,
blu,blue canyon,blue canyon,blue canyon/ca/us,blu,y,ca,us,namer,itc1,us110,-121.5,38.58,,n,blue canyon,
blv,belleville,belleville,belleville/il/us:scott afb/mid,blv,y,il,us,namer,itc1,us107,-89.98,38.52,,y,belleville,
blw,waimanalo,waimanalo,waimanalo/hi/us:bellows field,blw,y,hi,us,namer,itc1,us113,-157.7,21.35,,n,waimanalo,
blx,belluno,belluno,belluno/it,blx,y,,it,europ,itc2,it067,12.33,46.33,573,n,belluno,
bly,belmullet,belmullet,belmullet/ie,bly,y,,ie,europ,itc2,ie064,-10,54.23,,n,belmullet,
blz,blantyre,blantyre,blantyre/mw:chileka,blz,y,,mw,afric,itc2,mw,34.97,-15.68,574,y,blantyre,
bma,stockholm bromma,stockholm bromm,stockholm/se:bromma,sto,y,,se,europ,itc2,se095,17.95,59.35,575,y,stockholm,
bmb,bumba,bumba,bumba/cd,bmb,y,,cd,afric,itc2,cd167,22.55,2.3,576,n,bumba,
bmc,brigham city,brigham city,brigham city/ut/us,bmc,y,ut,us,namer,itc1,us108,-112.1,41.53,577,n,brigham city,
bmd,belo,belo,belo/mg,bmd,y,,mg,afric,itc2,mg,44.55,-19.67,578,n,belo,
bme,broome,broome,broome/wa/au,bme,y,wa,au,austl,itc3,au011,122.2,-17.95,579,y,broome,
bmf,bakouma,bakouma,bakouma/cf,bmf,y,,cf,afric,itc2,cf,22.8,5.733,580,n,bakouma,
bmg,bloomington,bloomington,bloomington/in/us,bmg,y,in,us,namer,itc1,us105,-86.62,39.13,581,n,bloomington,
bmh,bomai,bomai,bomai/pg,bmh,y,,pg,austl,itc3,pg,144.6,-6.367,,n,bomai,
bmi,bloomington norma,bloomington nor,bloomington/il/us:normal,bmi,y,il,us,namer,itc1,us107,-88.95,40.48,582,y,bloomington,
bmj,baramita,baramita,baramita/gy,bmj,y,,gy,samer,itc1,gy,-58.55,5.433,583,n,baramita,
bmk,borkum,borkum,borkum/de,bmk,y,,de,europ,itc2,de040,6.7,53.6,,y,borkum,
bml,berlin,berlin,berlin/nh/us,bml,y,nh,us,namer,itc1,us105,-71.17,44.48,,n,berlin,
bmm,bitam,bitam,bitam/ga,bmm,y,,ga,afric,itc2,ga,11.48,2.083,585,n,bitam,
bmn,bamerny,bamerny,bamerny/iq,bmn,y,,iq,meast,itc2,iq066,43.27,37.1,586,n,bamerny,
bmo,bhamo,bhamo,bhamo/mm,bmo,y,,mm,seasi,itc3,mm,97.25,24.27,587,y,bhamo,
bmp,brampton island,brampton island,brampton island/ql/au,bmp,y,ql,au,austl,itc3,au131,149.2,-20.78,588,n,brampton island,
bmq,bamburi,bamburi,bamburi/ke,bmq,y,,ke,afric,itc2,ke,39.73,-3.95,589,n,bamburi,
bmr,baltrum,baltrum,baltrum/de:baltrum,bmr,y,,de,europ,itc2,de040,7.389,53.73,,n,baltrum,
bms,brumado,brumado,brumado/ba/br,bms,y,ba,br,samer,itc1,br016,-41.67,-14.22,,n,brumado,
bmt,beaumont mncpal,beaumont mncpal,beaumont/tx/us:beaumont mncpl,bpt,y,tx,us,namer,itc1,us107,-94.22,30.07,,n,beaumont,
bmu,bima,bima,bima/id,bmu,y,,id,seasi,itc3,id062,118.7,-8.467,591,y,bima,
bmv,banmethuot,banmethuot,banmethuot/vn:phung duc,bmv,y,,vn,seasi,itc3,vn,108.1,12.67,592,y,banmethuot,
bmw,bordj badji mokht,bordj badji mok,bordj badji mokhtar/dz,bmw,y,,dz,afric,itc2,dz,1.067,21.13,,n,bordj badji mokhtar,
bmx,big mountain,big mountain,big mountain/ak/us,bmx,y,ak,us,namer,itc1,us111,-155.3,59.37,593,n,big mountain,
bmy,belep island,belep island,belep island/nc,bmy,y,,nc,austl,itc3,nc165,163.7,-19.75,594,y,belep island,
bmz,bamu,bamu,bamu/pg,bmz,y,,pg,austl,itc3,pg,143.2,-7.833,595,n,bamu,
bna,nashville,nashville,nashville/tn/us:intl airportc,bna,y,tn,us,namer,itc1,us107,-86.83,36.17,596,y,nashville,
bnb,boende,boende,boende/cd,bnb,y,,cd,afric,itc2,cd166,20.83,-0.2333,597,n,boende,
bnc,beni,beni,beni/cd,bnc,y,,cd,afric,itc2,cd167,29.47,0.5667,598,n,beni,
bnd,bandar abbas,bandar abbas,bandar abbas/ir,bnd,y,,ir,meast,itc2,ir120,56.25,27.2,599,y,bandar abbas,
bne,brisbane,brisbane,brisbane/ql/au,bne,y,ql,au,austl,itc3,au131,153,-27.47,600,y,brisbane,
bnf,baranof,baranof,baranof/ak/us:warm spring bay,bnf,y,ak,us,namer,itc1,us111,-134.8,57.08,601,n,baranof,
bng,banning,banning,banning/ca/us,bng,y,ca,us,namer,itc1,us110,-116.9,33.93,,n,banning,
bnh,hartford barnes,hartford barnes,hartford/ct/us:barnes,hfd,y,ct,us,namer,itc1,us105,-72.65,41.74,,n,hartford,
bni,benin city,benin city,benin city/ng,bni,y,,ng,afric,itc2,ng,5.617,6.317,602,y,benin city,
bnj,bonn,bonn,bonn/de:rail svc,bnj,y,,de,europ,itc2,de040,7.167,50.77,,y,bonn,
bnk,ballina,ballina,ballina/ns/au:byron gateway,bnk,y,ns,au,austl,itc3,au007,153.6,-28.87,,y,ballina,
bnl,barnwell,barnwell,barnwell/sc/us:barnwell cnty,bnl,y,sc,us,namer,itc1,us105,-81.38,33.25,,n,barnwell,
bnm,bodinumu,bodinumu,bodinumu/pg,bnm,y,,pg,austl,itc3,pg,147.5,-9.083,603,n,bodinumu,
bnn,bronnoysund,bronnoysund,bronnoysund/no:bronnoy,bnn,y,,no,europ,itc2,no083,12.22,65.48,604,y,bronnoysund,
bno,burns,burns,burns/or/us,bno,y,or,us,namer,itc1,us110,-119,43.58,605,n,burns,
bnp,bannu,bannu,bannu/pk,bnp,y,,pk,asia,itc3,pk163,70.52,32.97,606,n,bannu,
bnq,baganga,baganga,baganga/ph,bnq,y,,ph,pacif,itc3,ph,126.6,7.583,,n,baganga,
bnr,banfora,banfora,banfora/bf,bnr,y,,bf,afric,itc2,bf,-4.767,10.63,607,n,banfora,
