concat_ws(',', language_code, code, classical_name, extended_name, alternate_name1, alternate_name2, alternate_name3, alternate_name4, alternate_name5, alternate_name6, alternate_name7, alternate_name8, alternate_name9, alternate_name10)
en,ati,artigas,artigas/uy
en,atj,antsirabe,antsirabe/mg
en,atk,atqasuk,atqasuk/ak/us
en,atl,atlanta atl,atlanta/ga/us:hartsfield jacks
en,atm,altamira,altamira/pa/br
en,atn,namatanai,namatanai/pg
en,ato,athens,athens/oh/us:ohio university
en,atp,aitape airstrip,aitape/pg:airstrip
en,atq,amritsar,amritsar/in:raja sansi
en,atr,atar,atar/mr:mouakchott
en,ats,artesia,artesia/nm/us
en,att,atmautluak,atmautluak/ak/us
en,atu,attu island,attu island/ak/us:casco cove
en,atv,ati,ati/td
en,atw,appleton,appleton/wi/us:outagamie cty
en,atx,atbasar,atbasar/kz
en,aty,watertown,watertown/sd/us
en,atz,assiut,assiut/eg
en,aua,aruba,aruba/aw:reina beatrix
en,aub,itauba,itauba/mt/br
en,auc,arauca,arauca/co
en,aud,augustus downs,augustus downs/ql/au
en,aue,abu rudeis,abu rudeis/eg
en,auf,auxerre,auxerre/fr:auxerre branches
en,aug,augusta,augusta/me/us
en,auh,abu dhabi,abu dhabi/ae:abu dhabi intl
en,aui,aua island,aua island/pg
en,auj,ambunti,ambunti/pg
en,auk,alakanuk,alakanuk/ak/us
en,aul,aur island,aur island/mh
en,aum,austin,austin/mn/us
en,aun,auburn,auburn/ca/us
en,auo,auburn,auburn/al/us:auburn opelika
en,aup,agaun,agaun/pg
en,auq,atuona,atuona/pf
en,aur,aurillac,aurillac/fr
en,aus,austin,austin/tx/us:bergstrom intl
en,aut,atauro,atauro/id
en,auu,aurukun mission,aurukun mission/ql/au
en,auv,aumo,aumo/pg
en,auw,wausau municipal,wausau/wi/us:wausau mnpl
en,aux,araguaina,araguaina/to/br
en,auy,aneityum,aneityum/vu
en,auz,aurora,aurora/il/us:municipal airport
en,ava,an shun,an shun/cn:huang guo shu
en,avb,aviano,aviano/it
en,avf,avoriaz,avoriaz/fr
en,avg,auvergne,auvergne/nt/au
en,avi,ciego de avila,ciego de avila/cu:maximo gomez
en,avk,arvaikheer,arvaikheer/mn
en,avl,ashevle/hendsnvle,asheville/nc/us:regional aptc
en,avn,avignon,avignon/fr:avignon caumont
en,avo,avon park,avon park/fl/us:municipal
en,avp,scrantn/wilkesbar,scranton/pa/us:scranton intl
en,avu,avu avu,avu avu/sb
en,avv,melbourne avalon,melbourne/vi/au:avalon
en,avw,tucson marana,tucson/az/us:marana regional
en,avx,catalina island,catalina isla/ca/us:avalon bay
en,awa,awassa,awassa/et
en,awb,awaba,awaba/pg
en,awd,aniwa,aniwa/vu
en,awe,alowe,alowe/ga
en,awh,awareh,awareh/et
en,awk,wake island,wake island/um
en,awm,west memphis,west memphis/ar/us:municipal
en,awn,alton downs,alton downs/sa/au
en,awp,austral downs,austral downs/nt/au
en,awr,awar,awar/pg
en,awz,ahwaz,ahwaz/ir
en,axa,anguilla,anguilla/ai:wallblake
en,axb,alexandria bay,alexandria bay/ny/us
en,axc,aramac,aramac/ql/au
en,axd,alexandroupolis,alexandroupolis/gr:demokritos
en,axe,xanxere,xanxere/sc/br:xanxere
en,axg,algona,algona/ia/us
en,axk,ataq,ataq/ye
en,axl,alexandria,alexandria/nt/au
en,axm,armenia,armenia/co:el eden
en,axn,alexandria,alexandria/mn/us
en,axp,spring point,spring point/bs:springpoint
en,axr,arutua,arutua/pf
en,axs,altus municipal,altus/ok/us:municipal
en,axt,akita,akita/jp
en,axu,axum,axum/et
en,axv,wapakoneta,wapakoneta/oh/us:neil armstron
en,axx,angel fire,angel fire/nm/us
en,aya,ayapel,ayapel/co
en,ayc,ayacucho,ayacucho/co
en,ayd,alroy downs,alroy downs/nt/au
en,aye,fort devens,fort devens/ma/us:aaf hpt
en,ayg,yaguara,yaguara/co
en,ayh,alconbury,alconbury/gb:raf station
en,ayi,yari,yari/co
en,ayk,arkalyk,arkalyk/kz
en,ayl,anthony lagoon,anthony lagoon/nt/au
en,ayn,anyang,anyang/cn
en,ayo,ayolas,ayolas/py
en,ayp,ayacucho,ayacucho/pe:yanamilla
en,ayq,ayers rock,ayers rock/nt/au:connellan
en,ayr,ayr,ayr/ql/au
en,ays,waycross,waycross/ga/us:ware county
en,ayt,antalya,antalya/tr
en,ayu,aiyura,aiyura/pg
en,ayw,ayawasi,ayawasi/id
en,ayz,amityville,amityville/ny/us:zahns
en,aza,phoenix williams,chandler/az/us:williams gateway,mesa gateway,chandler williams
en,azb,amazon bay,amazon bay/pg
en,azd,yazd,yazd/ir
en,azg,apatzingan,apatzingan/mx
en,azi,abu dhabi bateen,abu dhabi/ae:bateen
en,azl,sapezal,sapezal/mt/br:fazenda tucunare
en,azn,andizhan,andizhan/uz
en,azo,kalamazoo,kalamazoo/mi/us:battle creek
en,azp,mexico city atiza,mexico city/mx:atizapan
en,azr,adrar,adrar/dz
en,azs,samana intl,samana/do:international
en,azt,zapatoca,zapatoca/co
en,azz,ambriz,ambriz/ao
en,baa,bialla,bialla/pg
en,bab,marysville afb,marysville/ca/us:beale afb,air force base
en,bac,barranca de upia,barranca de upia/co
en,bad,shreveport afb,shreveport/la/us:barksdale afb,air force base
en,bae,barcelonnette,barcelonnette/fr
en,baf,westfield,westfield/ma/us:barnes
en,bag,baguio,baguio/ph:loakan
en,bah,bahrain,bahrain/bh:bahrain intl
en,bai,buenos aires,buenos aires/cr
en,baj,bali,bali/pg
en,bak,baku,baku/az
en,bal,batman,batman/tr
en,bam,battle mountain,battle mountain/nv/us:lander c
en,ban,basongo,basongo/cd
en,bao,ban mak khaen,ban mak khaen/th:udorn
en,bap,baibara,baibara/pg
en,baq,barranquilla,barranquilla/co:e cortissoz
en,bar,baker island,baker island/ak/us:baker aaf
en,bas,balalae,balalae/sb
en,bat,barretos,barretos/sp/br
en,bau,bauru,bauru/sp/br
en,bav,baotou,baotou/cn
en,baw,biawonque,biawonque/ga
en,bax,barnaul,barnaul/ru
en,bay,baia mare,baia mare/ro
en,baz,barbelos,barbelos/am/br
en,bba,balmaceda,balmaceda/cl:balmaceda
en,bbb,benson,benson/mn/us:municipal
en,bbc,bay city,bay city/tx/us
en,bbd,brady,brady/tx/us:curtis field
en,bbe,big bell,big bell/wa/au
en,bbf,burlington,burlington/ma/us
en,bbg,butaritari,butaritari/ki
en,bbh,barth,barth/de
en,bbi,bhubaneswar,bhubaneswar/in
en,bbj,bitburg,bitburg/de:bitburg air base
en,bbk,kasane,kasane/bw
en,bbl,babolsar,babolsar/ir
en,bbm,battambang,battambang/kh
en,bbn,bario,bario/my
en,bbo,berbera,berbera/so
en,bbp,bembridge,bembridge/gb
en,bbq,barbuda,barbuda/ag
en,bbr,basse terre,basse terre/gp:baillif,guadeloupe
en,bbs,blackbush,blackbush/gb
en,bbt,berberati,berberati/cf
en,bbu,bucharest baneasa,bucharest/ro:baneasa
en,bbv,bereby,bereby/ci
en,bbw,broken bow,broken bow/ne/us
en,bbx,blue bell,blue bell/pa/us:wings field
en,bby,bambari,bambari/cf
en,bbz,zambezi,zambezi/zm
en,bca,baracoa,baracoa/cu
en,bcb,blacksburg,blacksburg/va/us:virginia tech
en,bcc,bear creek,bear creek/ak/us
en,bcd,bacolod,bacolod/ph
en,bce,bryce,bryce/ut/us
en,bcf,bouca,bouca/cf
en,bcg,bemichi,bemichi/gy
en,bch,baucau,baucau/tl:english madeira
en,bci,barcaldine,barcaldine/ql/au
en,bcj,baca grande,baca grande/co/us
en,bck,bolwarra,bolwarra/ql/au
en,bcl,barra colorado,barra colorado/cr
en,bcm,bacau,bacau/ro
en,bcn,barcelona,barcelona/es
en,bco,jinka,jinka/et
en,bcp,bambu,bambu/pg
en,bcq,brack,brack/ly
en,bcr,boca do acre,boca do acre/am/br
en,bcs,belle chasse,belle chasse/la/us:s seaplane
en,bct,boca raton,boca/fl/us:pub. non commercial
en,bcu,bauchi,bauchi/ng
en,bcv,belmopan,belmopan/bz
en,bcw,benguera island,benguera island/mz
en,bcx,beloreck,beloreck/ru
en,bcy,bulchi,bulchi/et
en,bcz,bickerton island,bickerton island/nt/au
en,bda,bermuda,bermuda/bm:bermuda intl
en,bdb,bundaberg,bundaberg/ql/au
en,bdc,barra do corda,barra do corda/ma/br
en,bdd,badu island,badu island/ql/au
en,bde,baudette,baudette/mn/us
en,bdf,bradford,bradford/il/us:rinkenberger
en,bdg,blanding,blanding/ut/us
en,bdh,bandar lengeh,bandar lengeh/ir
en,bdi,bird island,bird island/sc
en,bdj,banjarmasin,banjarmasin/id:sjamsudin noor
en,bdk,bondoukou,bondoukou/ci
en,bdl,hartford/sprngfld,hartford/ct/us:bradley intl
en,bdm,bandirma,bandirma/tr
en,bdn,badin,badin/pk:talhar
en,bdo,bandung,bandung/id:husein sastranegara
en,bdp,bhadrapur,bhadrapur/np
en,bdq,vadodara,vadodara/in
en,bdr,bridgeport,bridgeport/ct/us:i sikorsky
en,bds,brindisi,brindisi/it:papola casale
en,bdt,gbadolite,gbadolite/cd
en,bdu,bardufoss,bardufoss/no
en,bdv,moba,moba/cd
en,bdw,bedford downs,bedford downs/wa/au
en,bdx,broadus,broadus/mt/us
en,bdy,bandon,bandon/or/us:state
en,bdz,baindoung,baindoung/pg
en,bea,bereina,bereina/pg
en,beb,benbecula,benbecula/gb
en,bec,wichita beech,wichita beech/ks/us:beech
en,bed,bedford hanscom,bedford ha/ma/us:hanscom field
en,bee,beagle bay,beagle bay/wa/au
en,bef,bluefields,bluefields/ni
en,beg,belgrade,belgrade/rs:beograd
en,beh,benthnhbr/stjosep,benton harbor/mi/us:ross field
en,bei,beica,beica/et
en,bej,berau,berau/id
en,bek,bareli,bareli/in
en,bel,belem,belem/pa/br:val de cans
en,bem,bossembele,bossembele/cf
en,ben,benghazi,benghazi/ly:benina intl
en,beo,newcastle beo,newcastle/ns/au:belmont
en,bep,bellary,bellary/in
en,beq,bury st edmunds,bury st edmunds/gb:honington
en,ber,berlin,berlin/de,berlin
en,bes,brest,brest/fr:guipavas
en,bet,bethel airport,bethel/ak/us:bethel airport
en,beu,bedourie,bedourie/ql/au
en,bev,beer sheba,beer sheba/il
en,bew,beira,beira/mz
en,bex,benson,benson/gb:raf station
en,bey,beirut,beirut/lb:international
en,bez,beru,beru/ki
en,bfa,bahia negra,bahia negra/py:bahia negra
en,bfb,blue fox bay,blue fox bay/ak/us
en,bfc,bloomfield,bloomfield/ql/au
