aba,,,y,y,n,y,,ru,euras,itc2,ru143,91.43,53.72,-34.943333,117.808889,ABA,Abakan,RU
abb,,,y,y,n,n,,gb,europ,itc2,gb053,-0.3,51.53,51.53,-0.3,ABB,Abingdon Raf Station,GB
abc,,,y,y,n,y,,es,europ,itc2,es045,-15.18,38.95,38.95,-15.18,ABC,Albacete Los Llanos,ES
abd,,,y,y,n,y,,ir,meast,itc2,ir120,48.23,30.37,30.371111,48.228333,ABD,Abadan,IR
abe,,,y,y,n,y,pa,us,namer,itc1,us105,-75.43,40.65,40.652083,-75.440806,ABE,Allentown Bthlehm,US
abf,,,y,y,n,n,,ki,austl,itc3,ki069,172.8,1.417,1.417,172.8,ABF,Abaiang,KI
abg,,,y,y,n,n,ql,au,austl,itc3,au131,143.2,-17.67,-17.67,143.2,ABG,Abingdon,AU
abh,,,y,y,n,n,ql,au,austl,itc3,au131,146.6,-23.7,-23.646111,146.583611,ABH,Alpha,AU
abi,,,y,y,n,y,tx,us,namer,itc1,us107,-99.68,32.42,32.411319,-99.681897,ABI,Abilene Abilene Mnpl,US
abj,,,y,y,n,y,,ci,afric,itc2,ci,-3.933,5.25,5.261386,-3.926294,ABJ,Abidjan F Houphouet Boigny,CI
abk,,,y,y,n,y,,et,afric,itc2,et,44.27,6.733,6.733,44.27,ABK,Kabri Dar,ET
abl,,,y,y,n,y,ak,us,namer,itc1,us111,-157.8,67.1,67.1,-157.8,ABL,Ambler,US
abm,,,y,y,n,y,ql,au,austl,itc3,au131,142.4,-10.87,-10.950833,142.459444,ABM,Bamaga,AU
abn,,,y,y,n,n,,sr,samer,itc1,sr,-54.05,5.483,5.483,-54.05,ABN,Albina,SR
abo,,,y,y,n,n,,ci,afric,itc2,ci,-3.2,5.467,5.467,-3.2,ABO,Aboisso,CI
abp,,,y,y,n,n,,pg,austl,itc3,pg,141.1,-6.067,-6.067,141.1,ABP,Atkamba,PG
abq,,,y,y,n,y,nm,us,namer,itc1,us108,-106.6,35.05,35.05,-106.6,ABQ,Albuquerque Intl,US
abr,,,y,y,n,y,sd,us,namer,itc1,us107,-98.43,45.45,45.449056,-98.421833,ABR,Aberdeen Aberdeen Mnpl,US
abs,,,y,y,n,y,,eg,afric,itc2,eg044,31.62,22.37,22.375953,31.611722,ABS,Abu Simbel,EG
abt,,,y,y,n,y,,sa,meast,itc2,sa,42.22,22.83,20.296139,41.634277,ABT,Al Baha Al Aqiq,SA
abu,,,y,y,n,n,,id,seasi,itc3,id062,124.9,-9.333,-9.333,124.9,ABU,Atambua,ID
abv,,,y,y,n,y,,ng,afric,itc2,ng,7.183,9.2,9.006792,7.263172,ABV,Abuja International,NG
abw,,,y,y,n,n,,pg,austl,itc3,pg,148.7,-10.17,-10.17,148.7,ABW,Abau,PG
abx,,,y,y,n,y,ns,au,austl,itc3,au007,146.9,-36.05,-36.067778,146.958056,ABX,Albury,AU
aby,,,y,y,n,y,ga,us,namer,itc1,us105,-84.2,31.53,31.535515,-84.194473,ABY,Albany Dougherty County,US
abz,,,y,y,n,y,,gb,europ,itc2,gb053,-2.2,57.2,57.201944,-2.197778,ABZ,Aberdeen Dyce,GB
aca,,,y,y,n,y,,mx,namer,itc1,mx168,-99.8,16.78,16.757061,-99.753953,ACA,Acapulco Alvarez Intl,MX
acb,,,y,y,n,n,mi,us,namer,itc1,us105,-85.2,44.98,44.98,-85.2,ACB,Bellaire Antrim County,US
acc,,,y,y,n,y,,gh,afric,itc2,gh,-0.1667,5.6,5.605186,-0.166786,ACC,Accra Kotoka,GH
acd,,,y,y,n,n,,co,samer,itc1,co132,-77.3,8.517,8.517,-77.3,ACD,Acandi,CO
ace,,,y,y,n,y,,es,europ,itc2,es046,-13.6,28.95,28.945464,-13.605225,ACE,Lanzarote,ES
ach,,,y,y,n,y,,ch,europ,itc2,ch032,9.55,47.48,47.485033,9.560775,ACH,Altenrhein,CH
aci,,,y,y,n,y,,gb,europ,itc2,gb053,-2.217,49.7,49.706111,-2.214722,ACI,Alderney The Blaye,GB
acj,,,y,y,n,n,,lk,asia,itc3,lk187,80.43,8.3,8.3,80.43,ACJ,Anuradhapura Anuradhapura,LK
ack,,,y,y,n,y,ma,us,namer,itc1,us105,-70.07,41.27,41.253053,-70.060181,ACK,Nantucket Memorial,US
