concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
abu,,,y,y,n,n,		,id,seasi,itc3,id062,	124.9	,	-9.333	,
abv,,,y,y,n,y,		,ng,afric,itc2,ng,	7.183	,	9.2	,
abw,,,y,y,n,n,		,pg,austl,itc3,pg,	148.7	,	-10.17	,
abx,,,y,y,n,y,	ns	,au,austl,itc3,au007,	146.9	,	-36.05	,
aby,,,y,y,n,y,	ga	,us,namer,itc1,us105,	-84.2	,	31.53	,
abz,,,y,y,n,y,		,gb,europ,itc2,gb053,	-2.2	,	57.2	,
aca,,,y,y,n,y,		,mx,namer,itc1,mx168,	-99.8	,	16.78	,
acb,,,y,y,n,n,	mi	,us,namer,itc1,us105,	-85.2	,	44.98	,
acc,,,y,y,n,y,		,gh,afric,itc2,gh,	-0.1667	,	5.6	,
acd,,,y,y,n,n,		,co,samer,itc1,co132,	-77.3	,	8.517	,
ace,,,y,y,n,y,		,es,europ,itc2,es046,	-13.6	,	28.95	,
ach,,,y,y,n,y,		,ch,europ,itc2,ch032,	9.55	,	47.48	,
aci,,,y,y,n,y,		,gb,europ,itc2,gb053,	-2.217	,	49.7	,
acj,,,y,y,n,n,		,lk,asia,itc3,lk187,	80.43	,	8.3	,
ack,,,y,y,n,y,	ma	,us,namer,itc1,us105,	-70.07	,	41.27	,
acl,,,y,y,n,n,		,co,samer,itc1,co132,	-73	,	4.75	,
acm,,,y,y,n,n,		,co,samer,itc1,co132,	-71.78	,	-2.133	,
acn,,,y,y,n,n,		,mx,namer,itc1,mx168,	-100.9	,	29.3	,
aco,,,y,y,n,n,		,ch,europ,itc2,ch032,	8.767	,	46.15	,
acp,,,y,y,n,y,		,ir,meast,itc2,ir120,	46.15	,	37.35	,
acr,,,y,y,n,n,		,co,samer,itc1,co132,	-72.3	,	-0.3833	,
acs,,,y,y,n,n,		,ru,euras,itc2,ru143,	90.57	,	56.27	,
act,,,y,y,n,y,	tx	,us,namer,itc1,us107,	-97.23	,	31.62	,
acu,,,y,y,n,n,		,pa,camer,itc1,pa,	-77.97	,	8.433	,
acv,,,y,y,n,y,	ca	,us,namer,itc1,us110,	-124.1	,	40.98	,
acx,,,y,y,n,y,		,cn,asia,itc3,cn035,	104.9	,	25.08	,
acy,aiy,,y,n,n,y,	nj	,us,namer,itc1,us105,	-74.58	,	39.47	,
acz,,,y,y,n,y,		,ir,meast,itc2,ir120,	61.54	,	31.09	,
ada,,,y,y,n,y,		,tr,euras,itc2,tr101,	35.28	,	36.98	,
adb,izm,,y,n,n,y,		,tr,euras,itc2,tr101,	27.17	,	38.28	,
adc,,,n,y,n,n,		,pg,austl,itc3,pg,	154.7	,	-7.141	,
add,,,y,y,n,y,		,et,afric,itc2,et,	38.8	,	8.983	,
ade,,,y,y,n,y,		,ye,meast,itc2,ye,	45.03	,	12.83	,
adf,,,y,y,n,y,		,tr,euras,itc2,tr101,	38.46	,	37.73	,
adg,,,y,y,n,n,	mi	,us,namer,itc1,us105,	-84.03	,	41.9	,
adh,,,y,y,n,n,		,ru,euras,itc2,ru145,	125.4	,	58.6	,
adi,,,y,y,n,n,		,na,afric,itc2,na004,	15	,	-22.4	,
adj,amm,,y,n,n,y,		,jo,meast,itc2,jo068,	35.98	,	31.97	,
adk,,,y,y,n,y,	ak	,us,namer,itc1,us112,	-176.7	,	51.87	,
adl,,,y,y,n,y,	sa	,au,austl,itc3,au009,	138.5	,	-34.95	,
adm,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-97.02	,	34.3	,
adn,,,y,y,n,n,		,co,samer,itc1,co132,	-75.88	,	5.667	,
ado,,,y,y,n,n,	sa	,au,austl,itc3,au009,	137.2	,	-31.02	,
adp,,,y,y,n,n,		,lk,asia,itc3,lk187,	81.63	,	7.336	,
adq,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-152.4	,	57.8	,
adr,,,y,y,n,n,	sc	,us,namer,itc1,us105,	-79.57	,	33.45	,
ads,dfw,,y,n,n,n,	tx	,us,namer,itc1,us107,	-96.85	,	32.85	,
adt,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-96.68	,	34.77	,
adu,,,y,y,n,y,		,ir,meast,itc2,ir120,	48.3	,	30.25	,
adv,,,y,y,n,n,		,gb,europ,itc2,gb053,	-1.467	,	51.22	,
adw,,,y,y,n,n,	md	,us,namer,itc1,us105,	-76.92	,	38.8	,
adx,,,y,y,n,y,		,gb,europ,itc2,gb053,	-2.867	,	56.37	,
