concat(code, ',,,', is_airport, ',y,n,', is_commercial, ',')	trim(state_code)	concat(',', rel_country_code, ',', rel_region_code, ',', rel_continent_code, ',', rel_time_zone_grp, ',')	longitude	,	latitude	,
bwl,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-97.28	,	36.8	,
bwm,,,y,y,n,n,	nd	,us,namer,itc1,us108,	-103.6	,	46.13	,
bwn,,,y,y,n,y,		,bn,seasi,itc3,bn,	114.9	,	4.9	,
bwo,,,y,y,n,n,		,ru,euras,itc2,ru130,	47.75	,	51.87	,
bwp,,,y,y,n,n,		,pg,austl,itc3,pg,	141.1	,	-3.083	,
bwq,,,y,y,n,n,	ns	,au,austl,itc3,au007,	146.8	,	-29.97	,
bws,,,y,y,n,n,	wa	,us,namer,itc1,us110,	-122.8	,	48.97	,
bwt,,,y,y,n,y,	ts	,au,austl,itc3,au008,	145.7	,	-41	,
bwu,,,y,y,n,n,	ns	,au,austl,itc3,au007,	151	,	-33.92	,
bww,,,y,y,n,y,		,cu,carib,itc1,cu038,	-79.15	,	22.62	,
bwy,,,y,y,n,n,		,gb,europ,itc2,gb053,	1.317	,	52.1	,
bxa,,,y,y,n,n,	la	,us,namer,itc1,us107,	-89.87	,	30.78	,
bxb,,,y,y,n,n,		,id,seasi,itc3,id063,	133.4	,	-2.55	,
bxc,,,y,y,n,n,	ma	,us,namer,itc1,us105,	-71.53	,	42.48	,
bxd,,,y,y,n,n,		,id,seasi,itc3,id063,	139.6	,	-7.167	,
bxe,,,y,y,n,n,		,sn,afric,itc2,sn,	-12.9	,	14.92	,
bxf,,,y,y,n,n,	wa	,au,austl,itc3,au011,	128.3	,	-17.55	,
bxg,,,y,y,n,n,	vi	,au,austl,itc3,au007,	144.3	,	-36.73	,
bxh,,,y,y,n,n,		,kz,euras,itc3,kz133,	75.02	,	46.88	,
bxi,,,y,y,n,n,		,ci,afric,itc2,ci,	-6.483	,	9.517	,
bxj,,,y,y,n,n,		,kz,euras,itc3,kz164,	75.02	,	46.88	,
bxk,,,y,y,n,n,	az	,us,namer,itc1,us109,	-112.6	,	33.37	,
bxl,,,y,y,n,n,		,fj,austl,itc3,fj169,	177.4	,	-16.93	,
bxm,,,y,y,n,n,		,id,seasi,itc3,id063,	139.6	,	-2.283	,
bxn,,,y,y,n,n,		,tr,euras,itc2,tr101,	27.67	,	37.13	,
bxo,,,y,y,n,n,		,ch,europ,itc2,ch032,	8.433	,	46.97	,
bxr,,,y,y,n,y,		,ir,meast,itc2,ir120,	0.9728	,	29.12	,
bxs,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-116.3	,	33.25	,
bxt,,,y,y,n,n,		,id,seasi,itc3,id062,	117.5	,	0.1333	,
bxu,,,y,y,n,y,		,ph,pacif,itc3,ph,	125.4	,	8.967	,
bxv,,,y,y,n,n,		,is,europ,itc2,is,	-13.83	,	64.8	,
bxx,,,y,y,n,y,		,so,afric,itc2,so,	43.12	,	9.967	,
bxz,,,y,y,n,n,		,pg,austl,itc3,pg,	147.9	,	-5.717	,
bya,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-141.1	,	64.08	,
byb,,,y,y,n,n,		,om,meast,itc2,om,	56.25	,	25.62	,
byc,,,y,y,n,n,		,bo,samer,itc1,bo,	-63.7	,	-21.97	,
byd,,,y,y,n,n,		,ye,meast,itc2,ye,	46.55	,	14.13	,
byf,,,y,y,n,n,		,fr,europ,itc2,fr052,	2.693	,	49.97	,
byg,,,y,y,n,n,	wy	,us,namer,itc1,us108,	-106.7	,	44.35	,
byh,,,y,y,n,n,	ar	,us,namer,itc1,us107,	-89.92	,	35.93	,
byi,,,y,y,n,n,	id	,us,namer,itc1,us108,	-113.8	,	42.53	,
byk,,,y,y,n,n,		,ci,afric,itc2,ci,	-5.067	,	7.733	,
byl,,,y,y,n,n,		,lr,afric,itc2,lr,	-10	,	7.367	,
bym,,,y,y,n,y,		,cu,carib,itc1,cu038,	-76.5	,	20.28	,
byn,,,y,y,n,y,		,mn,asia,itc3,mn175,	100.7	,	46.33	,
byo,,,y,y,n,n,	ms	,br,samer,itc1,br017,	-56.46	,	-21.23	,
byq,,,y,y,n,n,		,id,seasi,itc3,id062,	117.9	,	3.467	,
byr,,,y,y,n,n,		,dk,europ,itc2,dk041,	12.13	,	55.58	,
bys,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-116.6	,	35.28	,
byt,,,y,y,n,n,		,ie,europ,itc2,ie064,	-9.45	,	51.68	,
byu,,,y,y,n,n,		,de,europ,itc2,de040,	11.58	,	49.95	,
byw,,,y,y,n,n,	wa	,us,namer,itc1,us110,	-122.8	,	48.58	,
byx,,,y,y,n,n,	nt	,au,austl,itc3,au010,	136.2	,	-13.2	,
bza,,,y,y,n,n,		,ni,camer,itc1,ni193,	-84.6	,	13.95	,
bzb,,,y,y,n,n,		,mz,afric,itc2,mz,	40.35	,	-11.35	,
bzc,,,y,y,n,n,	rj	,br,samer,itc1,br015,	-41.95	,	-22.77	,
bzd,,,y,y,n,n,	ns	,au,austl,itc3,au007,	143.6	,	-34.63	,
bze,,,y,y,n,y,		,bz,camer,itc1,bz,	-88.17	,	17.48	,
bzf,rdd,,y,n,n,n,	ca	,us,namer,itc1,us110,	-122.4	,	40.58	,
bzg,,,y,y,n,y,		,pl,eeuro,itc2,pl089,	18	,	53.5	,
bzh,,,y,y,n,n,		,zw,afric,itc2,zw,	28.35	,	-16.82	,
bzi,,,y,y,n,n,		,tr,euras,itc2,tr101,	27.85	,	39.62	,
bzk,,,y,y,n,n,		,ru,euras,itc2,ru130,	34.33	,	53.27	,
bzl,,,y,y,n,y,		,bd,asia,itc3,bd,	90.33	,	22.67	,
bzm,,,y,y,n,n,		,nl,europ,itc2,nl082,	4.283	,	51.5	,
bzn,,,y,y,n,y,	mt	,us,namer,itc1,us108,	-111.2	,	45.78	,
bzo,,,y,y,n,y,		,it,europ,itc2,it067,	11.32	,	46.45	,
bzp,,,y,y,n,n,	ql	,au,austl,itc3,au131,	144.6	,	-15.22	,
bzr,,,y,y,n,y,		,fr,europ,itc2,fr052,	3.25	,	43.35	,
bzs,was,,y,n,n,n,	dc	,us,namer,itc1,us105,	-77.03	,	38.85	,
bzt,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-95.57	,	29.05	,
bzu,,,y,y,n,n,		,cd,afric,itc2,cd167,	24.73	,	2.8	,
bzv,,,y,y,n,y,		,cg,afric,itc2,cg,	15.25	,	-4.25	,
bzy,,,y,y,n,n,		,md,euras,itc2,md135,	27.93	,	47.75	,
bzz,,,y,y,n,y,		,gb,europ,itc2,gb053,	-1.75	,	51.78	,
caa,,,y,y,n,n,		,hn,camer,itc1,hn,	-85.88	,	14.88	,
cab,,,y,y,n,y,		,ao,afric,itc2,ao,	12.18	,	-5.55	,
cac,,,y,y,n,y,	pr	,br,samer,itc1,br015,	-53.48	,	-24.95	,
cad,,,y,y,n,n,	mi	,us,namer,itc1,us105,	-85.42	,	44.27	,
cae,,,y,y,n,y,	sc	,us,namer,itc1,us105,	-81.12	,	33.95	,
caf,,,y,y,n,n,	am	,br,samer,itc1,br018,	-66.92	,	-4.9	,
cag,,,y,y,n,y,		,it,europ,itc2,it067,	9.05	,	39.25	,
cah,,,y,y,n,y,		,vn,seasi,itc3,vn,	105.2	,	9.167	,
cai,,,y,y,n,y,		,eg,afric,itc2,eg044,	31.25	,	30.05	,
caj,,,y,y,n,n,		,ve,samer,itc1,ve194,	-62.83	,	6.25	,
cak,,,y,y,n,y,	oh	,us,namer,itc1,us105,	-81.45	,	40.92	,
cal,,,y,y,n,y,		,gb,europ,itc2,gb053,	-5.6	,	55.42	,
cam,,,y,y,n,n,		,bo,samer,itc1,bo,	-63.57	,	-20.02	,
can,,,y,y,n,y,		,cn,asia,itc3,cn035,	113.3	,	23.18	,
cao,,,y,y,n,n,	nm	,us,namer,itc1,us108,	-103.2	,	36.45	,
cap,,,y,y,n,y,		,ht,carib,itc1,ht059,	-72.2	,	19.78	,
caq,,,y,y,n,n,		,co,samer,itc1,co132,	-75.25	,	7.6	,
car,,,y,y,n,n,	me	,us,namer,itc1,us105,	-68.02	,	46.87	,
cas,,,y,y,n,n,		,ma,afric,itc2,ma196,	-7.667	,	33.57	,
cat,,,y,y,n,n,		,bs,carib,itc1,bs021,	-75.5	,	24.45	,
cau,,,y,y,n,n,	pe	,br,samer,itc1,br016,	-35.97	,	-8.283	,
cav,,,y,y,n,n,		,ao,afric,itc2,ao,	22.93	,	-11.88	,
caw,,,y,y,n,n,	rj	,br,samer,itc1,br015,	-41.3	,	-21.75	,
cax,,,y,y,n,y,		,gb,europ,itc2,gb053,	-2.8	,	54.93	,
cay,,,y,y,n,y,		,gf,samer,itc1,gf,	-52.37	,	4.833	,
caz,,,y,y,n,y,	ns	,au,austl,itc3,au007,	145.8	,	-31.53	,
cba,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-135.2	,	57.72	,
cbb,,,y,y,n,y,		,bo,samer,itc1,bo,	-66.15	,	-17.4	,
cbc,,,y,y,n,n,	wa	,au,austl,itc3,au011,	125.4	,	-18.67	,
cbd,,,y,y,n,n,		,in,asia,itc3,in,	92.78	,	9.167	,
cbe,,,y,y,n,n,	md	,us,namer,itc1,us105,	-78.77	,	39.6	,
cbf,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-95.87	,	41.27	,
cbg,,,y,y,n,y,		,gb,europ,itc2,gb053,	0.1833	,	52.2	,
cbh,,,y,y,n,y,		,dz,afric,itc2,dz,	-2.25	,	31.65	,
cbi,,,y,y,n,n,	ts	,au,austl,itc3,au008,	148.2	,	-40.33	,
cbj,,,y,y,n,n,		,do,carib,itc1,do174,	-71.65	,	17.93	,
cbk,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-101.1	,	39.42	,
cbl,,,y,y,n,y,		,ve,samer,itc1,ve194,	-63.53	,	8.133	,
cbm,ubs,,y,n,n,n,	ms	,us,namer,itc1,us107,	-88.45	,	33.5	,
cbn,,,y,y,n,n,		,id,seasi,itc3,id061,	108.5	,	-6.75	,
cbo,,,y,y,n,y,		,ph,pacif,itc3,ph,	124.2	,	7.2	,
cbp,,,y,y,n,n,		,pt,europ,itc2,pt092,	-8.467	,	40.15	,
cbq,,,y,y,n,y,		,ng,afric,itc2,ng,	8.333	,	4.983	,
cbr,,,y,y,n,y,	ac	,au,austl,itc3,au007,	149.1	,	-35.42	,
cbs,,,y,y,n,n,		,ve,samer,itc1,ve194,	-71.47	,	10.38	,
cbt,,,y,y,n,y,		,ao,afric,itc2,ao,	13.48	,	-12.45	,
cbu,,,y,y,n,n,		,de,europ,itc2,de040,	14.35	,	51.72	,
cbv,,,y,y,n,n,		,gt,camer,itc1,gt119,	-90.25	,	15.58	,
cbw,,,y,y,n,n,	pr	,br,samer,itc1,br015,	-52.36	,	-24	,
cbx,,,y,y,n,n,	ns	,au,austl,itc3,au007,	147.2	,	-33.07	,
cby,,,y,y,n,n,	ql	,au,austl,itc3,au131,	140.9	,	-19.63	,
cbz,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-132.4	,	55.38	,
cca,,,y,y,n,n,	ar	,us,namer,itc1,us107,	-94.23	,	35.28	,
ccb,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-117.6	,	34.08	,
ccc,,,y,y,n,y,		,cu,carib,itc1,cu038,	-78.5	,	22.5	,
ccd,lax,,y,n,n,n,	ca	,us,namer,itc1,us110,	-118.4	,	34.06	,
cce,sfg,,y,n,n,n,		,gp,carib,itc1,gp,	-63.03	,	18.07	,
ccf,,,y,y,n,n,		,fr,europ,itc2,fr052,	2.317	,	43.22	,
ccg,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-102.4	,	31.4	,
cch,,,y,y,n,n,		,cl,samer,itc1,cl033,	-71.73	,	-46.57	,
cci,,,y,y,n,n,	sc	,br,samer,itc1,br015,	-52.03	,	-27.25	,
ccj,,,y,y,n,y,		,in,asia,itc3,in,	75.95	,	11.13	,
cck,,,y,y,n,y,		,cc,iocea,itc3,cc,	96.83	,	-12.18	,
ccl,,,y,y,n,n,	ql	,au,austl,itc3,au131,	150.6	,	-26.78	,
ccm,,,y,y,n,y,	sc	,br,samer,itc1,br015,	-49.37	,	-28.7	,
ccn,,,y,y,n,n,		,af,meast,itc3,af,	65.27	,	34.53	,
cco,,,y,y,n,n,		,co,samer,itc1,co132,	-71.33	,	4.567	,
ccp,,,y,y,n,y,		,cl,samer,itc1,cl033,	-73.08	,	-36.78	,
ccq,,,y,y,n,n,	ba	,br,samer,itc1,br016,	-38.97	,	-12.6	,
ccr,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-122.1	,	37.98	,
ccs,,,y,y,n,y,		,ve,samer,itc1,ve194,	-66.97	,	10.6	,
cct,,,y,y,n,n,	rn	,ar,samer,itc1,ar003,	-67.87	,	-37.85	,
ccu,,,y,y,n,y,		,in,asia,itc3,in,	88.43	,	22.63	,
ccv,,,y,y,n,y,		,vu,austl,itc3,vu115,	167.5	,	-16.2	,
ccw,,,y,y,n,n,	sa	,au,austl,itc3,au009,	136.9	,	-33.67	,
ccx,,,y,y,n,n,	mt	,br,samer,itc1,br018,	-57.65	,	-16.1	,
ccy,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-92.67	,	43.07	,
ccz,,,y,y,n,y,		,bs,carib,itc1,bs021,	-77.88	,	25.42	,
cda,,,y,y,n,n,	nt	,au,austl,itc3,au010,	132.5	,	-12.9	,
cdb,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-162.7	,	55.2	,
cdc,,,y,y,n,y,	ut	,us,namer,itc1,us108,	-113.1	,	37.7	,
cdd,,,y,y,n,n,		,hn,camer,itc1,hn,	-83.6	,	15.32	,
cde,,,y,y,n,n,		,pa,camer,itc1,pa,	-77.33	,	8.233	,
cdf,,,y,y,n,n,		,it,europ,itc2,it067,	12.33	,	46.75	,
cdg,par,,y,n,n,y,		,fr,europ,itc2,fr052,	2.55	,	49.02	,
cdh,,,y,y,n,n,	ar	,us,namer,itc1,us107,	-92.77	,	33.62	,
cdi,,,y,y,n,n,	es	,br,samer,itc1,br015,	-41.19	,	-20.84	,
cdj,,,y,y,n,n,	pa	,br,samer,itc1,br016,	-49.28	,	-8.283	,
cdk,,,y,y,n,n,	fl	,us,namer,itc1,us105,	-83.03	,	29.13	,
cdl,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-161.9	,	65.9	,
cdn,,,y,y,n,n,	sc	,us,namer,itc1,us105,	-80.6	,	34.27	,
cdo,,,y,y,n,n,		,za,afric,itc2,za,	25.6	,	-32.13	,
cdp,,,y,y,n,n,		,in,asia,itc3,in,	78.78	,	14.52	,
cdq,,,y,y,n,n,	ql	,au,austl,itc3,au131,	142.3	,	-18.3	,
cdr,,,y,y,n,y,	ne	,us,namer,itc1,us108,	-103.1	,	42.83	,
cds,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-100.2	,	34.42	,
cdu,,,y,y,n,n,	ns	,au,austl,itc3,au007,	150.7	,	-34.05	,
cdv,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-145.5	,	60.48	,
cdw,,,y,y,n,y,	nj	,us,namer,itc1,us105,	-74.28	,	40.87	,
cdy,,,y,y,n,n,		,ph,pacif,itc3,ph,	118.5	,	7.017	,
cdz,,,y,y,n,n,		,es,europ,itc2,es045,	-6.3	,	36.53	,
cea,ict,,y,n,n,n,	ks	,us,namer,itc1,us107,	-97.25	,	37.65	,
ceb,,,y,y,n,y,		,ph,pacif,itc3,ph,	123.9	,	10.33	,
cec,,,y,y,n,y,	ca	,us,namer,itc1,us110,	-124.2	,	41.78	,
ced,,,y,y,n,y,	sa	,au,austl,itc3,au009,	133.7	,	-32.13	,
cee,,,y,y,n,y,		,ru,euras,itc2,ru130,	38.07	,	59.28	,
cef,sfy,,y,n,n,n,	ma	,us,namer,itc1,us105,	-72.6	,	42.17	,
ceg,,,y,y,n,y,		,gb,europ,itc2,gb053,	-2.933	,	53.13	,
ceh,,,y,y,n,n,		,mw,afric,itc2,mw,	33.8	,	-10.55	,
cei,,,y,y,n,y,		,th,seasi,itc3,th,	99.82	,	19.88	,
cej,,,y,y,n,n,		,ua,euras,itc2,ua127,	31.3	,	51.5	,
cek,,,y,y,n,y,		,ru,euras,itc2,ru141,	61.5	,	55.3	,
cel,,,y,y,n,n,		,bs,carib,itc1,bs021,	-76.45	,	24.95	,
cem,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-144.8	,	65.57	,
cen,,,y,y,n,y,		,mx,namer,itc1,mx097,	-109.9	,	27.38	,
ceo,,,y,y,n,n,		,ao,afric,itc2,ao,	14.5	,	-13.33	,
cep,,,y,y,n,n,		,bo,samer,itc1,bo,	-62.08	,	-16.23	,
ceq,,,y,y,n,n,		,fr,europ,itc2,fr052,	7.017	,	43.55	,
cer,,,y,y,n,n,		,fr,europ,itc2,fr052,	-1.467	,	49.65	,
ces,,,y,y,n,n,	ns	,au,austl,itc3,au007,	151.1	,	-32.08	,
cet,,,y,y,n,n,		,fr,europ,itc2,fr052,	-0.8833	,	47.07	,
ceu,,,y,y,n,n,	sc	,us,namer,itc1,us105,	-82.88	,	34.67	,
cev,,,y,y,n,n,	in	,us,namer,itc1,us105,	-85.13	,	39.63	,
cew,,,y,y,n,n,	fl	,us,namer,itc1,us105,	-86.52	,	30.78	,
cex,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-146.1	,	65.05	,
cey,,,y,y,n,n,	ky	,us,namer,itc1,us107,	-88.37	,	36.67	,
cez,,,y,y,n,y,	co	,us,namer,itc1,us108,	-108.6	,	37.32	,
cfa,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-157.5	,	58.22	,
cfb,,,y,y,n,y,	rj	,br,samer,itc1,br015,	-42.08	,	-22.93	,
cfc,,,y,y,n,n,	sc	,br,samer,itc1,br015,	-50.94	,	-26.79	,
cfd,,,y,y,n,n,	tx	,us,namer,itc1,us107,	-96.37	,	30.67	,
cfe,,,y,y,n,y,		,fr,europ,itc2,fr052,	3.167	,	45.78	,
cff,,,y,y,n,n,		,ao,afric,itc2,ao,	15.72	,	-12.78	,
cfg,,,y,y,n,n,		,cu,carib,itc1,cu038,	-80.52	,	22.17	,
cfh,,,y,y,n,n,	sa	,au,austl,itc3,au009,	139.5	,	-26.52	,
cfi,,,y,y,n,n,	nt	,au,austl,itc3,au010,	131.4	,	-17.15	,
cfk,,,y,y,n,y,		,dz,afric,itc2,dz,	1.332	,	36.28	,
cfn,,,y,y,n,y,		,ie,europ,itc2,ie064,	-8.333	,	55.05	,
cfo,,,y,y,n,n,	mt	,br,samer,itc1,br018,	-51.57	,	-10.63	,
cfp,,,y,y,n,n,	ql	,au,austl,itc3,au131,	144.4	,	-18.78	,
cfq,,,y,y,n,n,	bc	,ca,namer,itc1,ca031,	-116.5	,	49.04	,
cfr,,,y,y,n,y,		,fr,europ,itc2,fr052,	-0.45	,	49.18	,
cfs,,,y,y,n,y,	ns	,au,austl,itc3,au007,	153.1	,	-30.32	,
cft,,,y,y,n,n,	az	,us,namer,itc1,us109,	-109.2	,	32.95	,
cfu,,,y,y,n,y,		,gr,europ,itc2,gr058,	19.87	,	39.62	,
cfv,,,y,y,n,n,	ks	,us,namer,itc1,us107,	-95.62	,	37.03	,
cga,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-133.2	,	55.48	,
cgb,,,y,y,n,y,	mt	,br,samer,itc1,br017,	-56.12	,	-15.65	,
cgc,,,y,y,n,n,		,pg,austl,itc3,pg,	148.4	,	-5.45	,
cgd,,,y,y,n,y,		,cn,asia,itc3,cn035,	111.7	,	29.03	,
cge,,,y,y,n,n,	md	,us,namer,itc1,us105,	-76.03	,	38.55	,
cgf,cle,,y,n,n,n,	oh	,us,namer,itc1,us105,	-81.48	,	41.55	,
cgg,,,y,y,n,n,		,ph,pacif,itc3,ph,	121	,	14.58	,
cgh,sao,,y,n,n,y,	sp	,br,samer,itc1,br015,	-46.75	,	-23.5	,
cgi,,,y,y,n,y,	mo	,us,namer,itc1,us107,	-89.57	,	37.22	,
cgj,,,y,y,n,n,		,zm,afric,itc2,zm,	27.87	,	-12.53	,
cgk,jkt,,y,n,n,y,		,id,seasi,itc3,id061,	106.7	,	-6.133	,
cgm,,,y,y,n,y,		,ph,pacif,itc3,ph,	124.7	,	9.25	,
cgn,,,y,y,n,y,		,de,europ,itc2,de040,	7.15	,	50.87	,
cgo,,,y,y,n,y,		,cn,asia,itc3,cn035,	113.4	,	34.75	,
cgp,,,y,y,n,y,		,bd,asia,itc3,bd,	91.82	,	22.27	,
cgq,,,y,y,n,y,		,cn,asia,itc3,cn035,	125.3	,	43.92	,
cgr,,,y,y,n,y,	ms	,br,samer,itc1,br017,	-54.5	,	-20.42	,
cgs,,,y,y,n,n,	md	,us,namer,itc1,us105,	-76.92	,	39	,
cgt,,,y,y,n,n,		,mr,afric,itc2,mr,	-12.37	,	20.45	,
cgu,,,y,y,n,n,		,ve,samer,itc1,ve194,	-64.22	,	8.583	,
cgv,,,y,y,n,n,	wa	,au,austl,itc3,au011,	125.5	,	-32.27	,
cgx,chi,,y,n,n,n,	il	,us,namer,itc1,us107,	-87.6	,	41.85	,
cgy,,,y,y,n,y,		,ph,pacif,itc3,ph,	124.6	,	8.417	,
cgz,,,y,y,n,n,	az	,us,namer,itc1,us109,	-111.8	,	32.88	,
cha,,,y,y,n,y,	tn	,us,namer,itc1,us105,	-85.2	,	35.03	,
chb,,,y,y,n,n,		,pk,asia,itc3,pk163,	74.08	,	35.42	,
chc,,,y,y,n,y,		,nz,austl,itc3,nz084,	172.5	,	-43.48	,
chd,,,y,y,n,y,  az  ,us,namer,itc1,us109, -111.811062, 33.269449,
che,,,y,y,n,n,		,ie,europ,itc2,ie064,	-10.22	,	51.95	,
chf,,,y,y,n,n,		,kr,asia,itc3,kr,	128.7	,	35.13	,
chg,,,y,y,n,n,		,cn,asia,itc3,cn035,	120.4	,	41.6	,
chh,,,y,y,n,n,		,pe,samer,itc1,pe155,	-78.03	,	-6.05	,
chi,,,n,y,n,n,	il	,us,namer,itc1,us107,	-87.75	,	41.78	,
chj,,,y,y,n,n,		,zw,afric,itc2,zw,	32.63	,	-20.2	,
chk,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-97.97	,	35.03	,
chl,,,y,y,n,n,	id	,us,namer,itc1,us108,	-114.2	,	44.5	,
chm,,,y,y,n,n,		,pe,samer,itc1,pe155,	-78.6	,	-9.083	,
chn,,,y,y,n,n,		,kr,asia,itc3,kr,	127.7	,	35.93	,
cho,,,y,y,n,y,	va	,us,namer,itc1,us105,	-78.45	,	38.13	,
chp,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-144.6	,	65.47	,
chq,,,y,y,n,y,		,gr,europ,itc2,gr058,	24.15	,	35.53	,
chr,,,y,y,n,y,		,fr,europ,itc2,fr052,	1.7	,	46.82	,
chs,,,y,y,n,y,	sc	,us,namer,itc1,us105,	-80.03	,	32.9	,
cht,,,y,y,n,y,		,nz,austl,itc3,nz085,	176.5	,	-43.92	,
chu,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-159.3	,	61.67	,
chv,,,y,y,n,n,		,pt,europ,itc2,pt092,	-7.467	,	41.73	,
chw,,,y,y,n,n,		,cn,asia,itc3,cn035,	98.42	,	39.85	,
chx,,,y,y,n,n,		,pa,camer,itc1,pa,	-82.47	,	9.45	,
chy,,,y,y,n,y,		,sb,austl,itc3,sb,	156.5	,	-6.7	,
chz,,,y,y,n,n,	or	,us,namer,itc1,us110,	-121.9	,	42.58	,
cia,rom,,y,n,n,y,		,it,europ,itc2,it067,	12.58	,	41.78	,
cib,avx,,y,n,n,n,	ca	,us,namer,itc1,us110,	-118.4	,	33.37	,
cic,,,y,y,n,y,	ca	,us,namer,itc1,us110,	-121.9	,	39.8	,
cid,,,y,y,n,y,	ia	,us,namer,itc1,us107,	-91.7	,	41.88	,
cie,,,y,y,n,n,	wa	,au,austl,itc3,au011,	116.2	,	-33.35	,
cif,,,y,y,n,y,		,cn,asia,itc3,cn035,	119	,	42.33	,
cig,,,y,y,n,n,	co	,us,namer,itc1,us108,	-107.6	,	40.5	,
cih,,,y,y,n,y,		,cn,asia,itc3,cn035,	113.1	,	36.18	,
cij,,,y,y,n,y,		,bo,samer,itc1,bo,	-68.73	,	-11.02	,
cik,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-143.8	,	66.65	,
cil,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-163.7	,	64.9	,
cim,,,y,y,n,n,		,co,samer,itc1,co132,	-74.03	,	6.483	,
cin,,,y,y,n,n,	ia	,us,namer,itc1,us107,	-94.78	,	42.05	,
cio,,,y,y,n,n,		,py,samer,itc1,py093,	-57.42	,	-23.43	,
cip,,,y,y,n,y,		,zm,afric,itc2,zm,	32.6	,	-13.55	,
ciq,,,y,y,n,n,		,gt,camer,itc1,gt119,	-89.55	,	14.8	,
cir,,,y,y,n,n,	il	,us,namer,itc1,us107,	-89.18	,	37	,
cis,,,y,y,n,n,		,ki,austl,itc3,ki071,	-171.7	,	-2.833	,
cit,,,y,y,n,y,		,kz,euras,itc3,kz164,	69.6	,	42.3	,
ciu,ssm,,y,n,n,y,	mi	,us,namer,itc1,us105,	-84.47	,	46.25	,
civ,,,y,y,n,n,	ak	,us,namer,itc1,us111,	-132.2	,	55.22	,
ciw,,,y,y,n,y,		,vc,carib,itc1,vc,	-61.33	,	12.72	,
cix,,,y,y,n,y,		,pe,samer,itc1,pe155,	-79.83	,	-6.783	,
ciy,,,y,y,n,n,		,it,europ,itc2,it067,	14.6	,	37	,
ciz,,,y,y,n,n,	am	,br,samer,itc1,br018,	-63.13	,	-4.083	,
cja,,,y,y,n,y,		,pe,samer,itc1,pe155,	-78.5	,	-7.133	,
cjb,,,y,y,n,y,		,in,asia,itc3,in,	77.03	,	11.02	,
cjc,,,y,y,n,y,		,cl,samer,itc1,cl033,	-68.92	,	-22.48	,
cjd,,,y,y,n,n,		,co,samer,itc1,co132,	-74.58	,	2.067	,
cjh,,,y,y,n,n,	bc	,ca,namer,itc1,ca031,	-124	,	51.83	,
cji,,,y,y,n,n,		,es,europ,itc2,es045,	-3.917	,	38.98	,
cjj,,,y,y,n,y,		,kr,asia,itc3,kr,	127.5	,	36.72	,
cjl,,,y,y,n,y,		,pk,asia,itc3,pk163,	71.78	,	35.87	,
cjm,,,y,y,n,n,		,th,seasi,itc3,th,	99.36	,	10.71	,
cjn,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-117	,	32.8	,
cjs,,,y,y,n,y,		,mx,namer,itc1,mx079,	-106.4	,	31.67	,
cjt,,,y,y,n,n,		,mx,namer,itc1,mx168,	-92.05	,	16.17	,
cju,,,y,y,n,y,		,kr,asia,itc3,kr,	126.5	,	33.5	,
cka,,,y,y,n,n,	ok	,us,namer,itc1,us107,	-95.55	,	42.75	,
ckb,,,y,y,n,y,	wv	,us,namer,itc1,us105,	-80.23	,	39.3	,
ckc,,,y,y,n,n,		,ua,euras,itc2,ua127,	32	,	49.42	,
ckd,,,y,y,n,y,	ak	,us,namer,itc1,us111,	-158.1	,	61.87	,
cke,,,y,y,n,n,	ca	,us,namer,itc1,us110,	-122.8	,	39.03	,
ckg,,,y,y,n,y,		,cn,asia,itc3,cn035,	106.5	,	29.58	,
ckh,,,y,y,n,y,		,ru,euras,itc2,ru147,	147.9	,	70.63	,
cki,,,y,y,n,n,	nt	,au,austl,itc3,au010,	132.5	,	-11.08	,
ckk,,,y,y,n,n,	ar	,us,namer,itc1,us107,	-91.5	,	36.28	,
ckl,,,y,y,n,n,		,ru,euras,itc2,ru130,	33.75	,	66.25	,
