dep_city^distance^page_rank^dist_weighted_by_page_rank
WME-CA^  2386^0.00000000000000000000^       0
LVB-CA^  2375^0.00000000000000000000^       0
PBT- A^  2274^0.00000000000000000000^       0
MGU-CA^  2247^0.00000000000000000000^       0
MGK-CA^  2176^0.00000000000000000000^       0
PBB-CA^  2123^0.00000000000000000000^       0
MQZ- A^  2065^0.00000000000000000000^       0
VCB-CA^  2038^0.00000000000000000000^       0
YAU-CA^  2021^0.00000000000000000000^       0
UDA-CA^  1960^0.00000000000000000000^       0
NOG-CA^  1957^0.00000000000000000000^       0
YAV-CA^  1915^0.00000000000000000000^       0
GMS-CA^  1897^0.00000000000000000000^       0
MXA-CA^  1797^0.00000000000000000000^       0
CTQ-CA^  1657^0.00000000000000000000^       0
KCI-CA^  1644^0.00000000000000000000^       0
SRM-CA^  1641^0.00000000000000000000^       0
OBA-CA^  1625^0.00000000000000000000^       0
BRB- A^  1582^0.00000000000000000000^       0
BIP-CA^  1575^0.00000000000000000000^       0
MIO- A^  1510^0.00000000000000000000^       0
YPD-CA^  1459^0.00000000000000000000^       0
ITI- A^  1455^0.00000000000000000000^       0
XOS-CA^  1423^0.00000000000000000000^       0
MXO-CA^  1369^0.00000000000000000000^       0
KPP-CA^  1317^0.00000000000000000000^       0
VLP- A^  1297^0.00000000000000000000^       0
DIQ-CA^  1293^0.00000000000000000000^       0
ZCQ- O^  1287^0.00000000000000000000^       0
BCW-CA^  1275^0.00000000000000000000^       0
KJP-CA^  1248^0.00000000000000000000^       0
DUA- A^  1246^0.00000000000000000000^       0
TGB-CA^  1246^0.00000000000000000000^       0
BZB-CA^  1242^0.00000000000000000000^       0
OVG-CA^  1193^0.00000000000000000000^       0
ZLR- A^  1187^0.00000000000000000000^       0
SZO-CA^  1183^0.00000000000000000000^       0
CKL-CA^  1178^0.00000000000000000000^       0
SYC-CA^  1153^0.00000000000000000000^       0
CSU-CA^  1146^0.00000000000000000000^       0
SGM- A^  1107^0.00000000000000000000^       0
TEN-CA^  1101^0.00000000000000000000^       0
KBJ-CA^  1086^0.00000000000000000000^       0
QWO-CB^  1066^0.00000000000000000000^       0
KLQ-CA^  1040^0.00000000000000000000^       0
GHN-CA^  1008^0.00000000000000000000^       0
XEW-CR^  1007^0.00000000000000000000^       0
QUF- C^   998^0.00000000000000000000^       0
ADC- C^   990^0.00000000000000000000^       0
ECO-CA^   964^0.00000000000000000000^       0
JUA-CA^   963^0.00000000000000000000^       0
