AGJ	AGJ	Aguni Airport	Aguni		JP	263523N	1271417E	0	A
AGK	AGK	Kagua Airport	Kagua		PG	062412S	1435048E	0	A
AGL	AGL	Wanigela Airport	Wanigela		PG	092025S	1490919E	0	A
AGM	AGM	Tasiilaq Airport	Tasiilaq		GL	653600N	0374100W	1	A
AGN	AGN	Angoon Airport	Angoon	AK	US	573014N	1343500W	5	A
AGO	AGO	Magnolia Municipal Airport	Magnolia	AR	US	331600N	0931400W	2	A
AGP	AGP	Malaga Airport	Malaga	SP	ES	364018N	0042953W	1	A
AGQ	AGQ	Agrinion Airport	Agrinion		GR	383615N	0212107E	0	A
AGR	AGR	Kheria Airport	Agra		IN	270930N	0775746E	0	A
AGS	AGS	Bush Field	Augusta	GA	US	332159N	0815801W	1	A
AGT	AGT	Alejo Garcia Airport	Ciudad del Este		PY	253000S	0545000W	0	A
AGU	AGU	Aguascalients Airport	Aguascalientes		MX	214200N	1021900W	1	A
AGV	AGV	Acarigua Airport	Acarigua		VE	093308N	0691400W	0	A
AGW	AGW	Agnew Airport	Agnew	QL	AU	120900S	1420900E	2B	A
AGX	AGX	Agatti Island Airport	Agatti Island		IN	110000N	0720000E	0	A
AGY	AGY	Argyle Downs Airport	Argyle Downs	WA	AU	162100S	1284500E	4	A
AGZ	AGZ	Aggeneys Airport	Aggeneys		ZA	290300S	0185100E	0	A
AHA	OKA	Naha Air Force Base	Okinawa		JP	261200N	1273900E	0	M
AHB	AHB	Abha Airport	Abha		SA	181400N	0423900E	0	A
AHC	AHC	Amedee Army Air Field	Herlong	CA	US	400900N	1200800W	4	M
AHD	ADM	Ardmore Downtown Airport	Ardmore	OK	US	341000N	0970800W	2	A
AHE	AHE	Ahe Airport	Ahe		PF	142541S	1461525W	2	A
AHF	AHF	Arapahoe Municipal Airport	Arapahoe	NE	US	401800N	0995400W	2	A
AHH	AHH	Amery Municipal Airport	Amery	WI	US	451800N	0922100W	2	A
AHI	AHI	Amahai Airport	Amahai		ID	032000S	1285500E	3	A
AHL	AHL	Aishalton Airport	Aishalton		GY	022900N	0591900W	0	A
AHM	AHM	Summer Parker Field Airport	Ashland	OR	US	421125N	1223938W	4	A
AHN	AHN	Athens Airport	Athens	GA	US	335654N	0831937W	1	A
AHO	AHO	Fertilia Airport	Alghero		IT	403750N	0081720E	0	A
AHS	AHS	Ahuas Airport	Ahuas		HN	152630N	0842530W	0	A
AHT	AHT	Amchitka Airport	Amchitka	AK	US	513000N	1790000E	6	A
AHU	AHU	Charif Al Idrissi Airport	Al Hoceima		MA	351047N	0035013W	0	A
AHW	AHW	Saihrawl Airport	Saihrawl		OM	212034N	0544556E	0	A
AHY	AHY	Ambatolahy Airport	Ambatolahy		MG	200100S	0453200E	0	A
AHZ	AHZ	Alpe D Huez Airport	Alpe D Huez		FR	450500N	0060500E	0	A
AIA	AIA	Alliance Airport	Alliance	NE	US	420306N	1024824W	3	A
AIB	AIB	Anita Bay Airport	Anita Bay	AK	US	561400N	1322300W	5	A
AIC	AIC	Airok Airport	Airok		MH	073000N	1705000E	0	A
AID	AID	Anderson Municipal Airport	Anderson	IN	US	401000N	0854100W	1	A
AIE	AIE	Aiome Airport	Aiome		PG	051000S	1444000E	0	A
AIF	AIF	Assis Airport	Assis	SP	BR	224000S	0502500W	1	A
AIG	AIG	Yalinga Airport	Yalinga		CF	063100N	0231500E	0	A
AIH	AIH	Aiambak Airport	Aiambak		PG	072055S	1411559E	0	A
AII	AII	Ali-Sabieh Airport	Ali-Sabieh		DJ	110900N	0424300E	0	A
AIK	AIK	Aiken Municipal Airport	Aiken	SC	US	333400N	0814300W	1	A
AIL	AIL	Ailigandi Airport	Ailigandi		PA	091500N	0780500W	0	A
AIM	AIM	Ailuk Island Airport	Ailuk Island		MH	101200N	1695900E	0	A
AIN	AIN	Wainwright Airport	Wainwright	AK	US	703800N	1600200W	5	A
AIO	AIO	Atlantic Municipal Airport	Atlantic	IA	US	412400N	0950100W	2	A
AIP	AIP	Ailinglapalap Island Airport	Ailinglapalap Island		MH	071600N	1684900E	0	A
AIR	AIR	Aripuana Airport	Aripuana	MT	BR	101500S	0592300W	2	A
AIS	AIS	Arorae Island Airport	Arorae Island		KI	023900S	1765000E	1	A
AIT	AIT	Aitutaki Airport	Aitutaki		CK	185100S	1594500W	0	A
AIU	AIU	Atiu Island Airport	Atiu Island		CK	200200S	1580600W	0	A
AIV	AIV	George Downer Airport	Aliceville	AL	US	330800N	0880900W	2	A
AIW	AIW	Ai-Ais Airport	Ai-Ais		NA	275900S	0173500E	0	A
AIY	AIY	Bader Field	Atlantic City	NJ	US	392136N	0742726W	1	A
AIZ	AIZ	Lee C Fine Memorial Airport	Kaiser/Lake Ozark	MO	US	380554N	0923250W	2	A
AJA	AJA	Campo Dell Oro Airport	Ajaccio		FR	415527N	0084811E	0	A
AJF	AJF	Jouf Airport	Jouf		SA	295900N	0401200E	0	A
AJI	AJI	Agri Airport	Agri		TR	393900N	0430130E	0	A
AJJ	AJJ	Akjoujt Airport	Akjoujt		MR	194350N	0142228W	0	A
AJK	AJK	Araak Airport	Araak		IR	340800N	0495000E	0	A
AJL	AJL	Aizawl Airport	Aizawl		IN	234500N	0924500E	0	A
